date,value
2020-01-01,102.48357076505616
2020-01-02,100.037311494689
2020-01-03,104.69322319250662
2020-01-04,109.7911161160988
2020-01-05,101.71896907145263
2020-01-06,102.42297632964329
2020-01-07,112.18141862624006
2020-01-08,108.79965047018962
2020-01-09,103.2753742091465
2020-01-10,108.97674755120455
2020-01-11,104.56685218894674
2020-01-12,105.15202144078094
2020-01-13,109.26198346386919
2020-01-14,99.0301809892342
2020-01-15,100.48755436582348
2020-01-16,106.78577548870408
2020-01-17,104.98611308948766
2020-01-18,112.04115111700962
2020-01-19,106.31476642002171
2020-01-20,104.14254070351149
2020-01-21,118.84469059344154
2020-01-22,110.66232843203093
2020-01-23,112.36529909486809
2020-01-24,105.10151104778316
2020-01-25,109.66169250015794
2020-01-26,113.05710308933782
2020-01-27,106.82686186577351
2020-01-28,114.50019714701985
2020-01-29,109.61916674618385
2020-01-30,111.12571368295772
2020-01-31,109.49918751485713
2020-02-01,121.65506375519143
2020-02-02,112.17539991413369
2020-02-03,106.76779766530194
2020-02-04,115.94792968778157
2020-02-05,105.47649659438648
2020-02-06,112.33860164437054
2020-02-07,101.17908950003532
2020-02-08,103.99090273094355
2020-02-09,111.24353094169338
2020-02-10,113.55381767939944
2020-02-11,110.29742311407519
2020-02-12,108.42033441515109
2020-02-13,107.03209238692321
2020-02-14,100.66729557081945
2020-02-15,103.9685236585988
2020-02-16,104.76027660734418
2020-02-17,111.83508390383422
2020-02-18,107.74627149643169
2020-02-19,96.68684877692334
2020-02-20,106.59397752990162
2020-02-21,102.51977876675733
2020-02-22,100.53482225085672
2020-02-23,106.45714029917902
2020-02-24,108.04062240403391
2020-02-25,107.03885565877161
2020-02-26,97.69554765141673
2020-02-27,99.86944028582637
2020-02-28,102.61265159564876
2020-02-29,105.39406931791555
2020-03-01,97.70179446671997
2020-03-02,98.77405695605677
2020-03-03,93.80068644988496
2020-03-04,93.00851992488617
2020-03-05,102.73830758449022
2020-03-06,105.17357478473198
2020-03-07,97.78110709540432
2020-03-08,102.94108141033915
2020-03-09,99.54858930427608
2020-03-10,94.36765523928275
2020-03-11,99.28990720570457
2020-03-12,105.10044962286008
2020-03-13,97.1968198337004
2020-03-14,105.20372871754215
2020-03-15,84.325600304246
2020-03-16,101.61713128462648
2020-03-17,98.06569105683585
2020-03-18,96.29771001940452
2020-03-19,98.45304988294973
2020-03-20,88.29670785093055
2020-03-21,97.4147521652723
2020-03-22,100.61478069270176
2020-03-23,106.57148715522544
