date,sales
2020-01-01,203.08596369891438
2020-01-02,190.3456795715862
2020-01-03,198.598984139471
2020-01-04,214.53034754429004
2020-01-05,205.81168655678084
2020-01-06,209.96950826162202
2020-01-07,224.72984977760856
2020-01-08,208.54319638344828
2020-01-09,189.78004881328047
2020-01-10,200.28990339948993
2020-01-11,197.40310258504869
2020-01-12,206.22747331282523
2020-01-13,217.4556664673906
2020-01-14,192.52299772654152
2020-01-15,186.3299612984747
2020-01-16,191.55372154873953
2020-01-17,187.42861373262275
2020-01-18,207.86249949942373
2020-01-19,204.4767112479815
2020-01-20,203.5739353203217
2020-01-21,228.96128013428563
2020-01-22,203.9577523755702
2020-01-23,200.47496165804267
2020-01-24,185.9185603189424
2020-01-25,201.87068224296078
2020-01-26,217.24536320961684
2020-01-27,208.75026431523608
2020-01-28,220.60838800474525
2020-01-29,202.73848156774426
2020-01-30,199.39418810803926
2020-01-31,196.64187545893358
2020-02-01,228.31101012406043
2020-02-02,218.45507490762185
2020-02-03,212.1165692170111
2020-02-04,227.48928750294996
2020-02-05,198.92720446866034
2020-02-06,206.76827220452483
2020-02-07,185.40789193190076
2020-02-08,198.8285698786854
2020-02-09,222.8568285989654
2020-02-10,232.35190399747034
2020-02-11,223.22590238185188
2020-02-12,212.20179917174886
2020-02-13,203.8649461241382
2020-02-14,192.38887963081487
2020-02-15,207.0541158682183
2020-02-16,218.39604712016654
2020-02-17,237.62424809720034
2020-02-18,227.00524560732262
2020-02-19,197.75527410920893
2020-02-20,212.1142707026046
2020-02-21,205.2902915176996
2020-02-22,209.41944119821085
2020-02-23,231.02392017921449
2020-02-24,239.2359027692335
2020-02-25,234.72245431875984
2020-02-26,208.80135856725576
2020-02-27,207.55600180747348
2020-02-28,214.19485812754397
2020-02-29,227.65122535045123
2020-03-01,221.7881296887616
2020-03-02,228.70724314358748
2020-03-03,215.9490583288701
2020-03-04,206.798681468721
2020-03-05,220.30469657918152
2020-03-06,225.9396863018933
2020-03-07,218.63414574087003
2020-03-08,238.03675668706578
2020-03-09,235.56451457823883
2020-03-10,221.90799174834794
2020-03-11,223.68364993808575
2020-03-12,228.83063147745167
2020-03-13,213.25146198273157
2020-03-14,236.1944677491121
2020-03-15,202.95885919254354
2020-03-16,241.28292211379272
2020-03-17,230.30603644411875
2020-03-18,218.11641572793187
2020-03-19,215.36488467986806
2020-03-20,194.69106872435506
2020-03-21,219.2681926760464
2020-03-22,233.60399353357903
2020-03-23,248.67891661086068
2020-03-24,225.0483204458404
2020-03-25,213.77625612975402
